modelKey,code,featureKey,defaultValue
last_6_month_passenger_online_orders_rate,DW_TS_BASIC_last6MonthPassengerOnlineOrdersRate,DW_TS_BASIC_last6MonthPassengerOnlineOrdersRate,-9999
last_1_year_international_passenger_finish_order_months,DW_TS_BASIC_last1YearInternationalPassengerFinishOrderMonths,DW_TS_BASIC_last1YearInternationalPassengerFinishOrderMonths,-9999
regist_days,DW_TS_BASIC_registDays,DW_TS_BASIC_registDays,-9999
month_income,DW_TS_COMPOUND_usersMonthlyIncome,DW_TS_COMPOUND_usersMonthlyIncome,-9999
last_1_year_international_passenger_cannel_orders,DW_TS_BASIC_last1YearInternationalPassengerCannelOrders,DW_TS_BASIC_last1YearInternationalPassengerCannelOrders,-9999
education,DW_TS_COMPOUND_education,DW_TS_COMPOUND_education,-9999
c_age,DW_TS_COMPOUND_age,DW_TS_COMPOUND_age,-9999
last_6_month_credit_home_duration,DW_TS_BASIC_last6MonthCreditHomeDuration,DW_TS_BASIC_last6MonthCreditHomeDuration,-9999
last_1_year_passenger_offline_orders_rate,DW_TS_BASIC_last1YearPassengerOfflineOrdersRate,DW_TS_BASIC_last1YearPassengerOfflineOrdersRate,-9999
failed_180_cnt,DW_TS_BASIC_failed180CntNew,DW_TS_BASIC_failed180CntNew,-9999
last_2_year_online_actual_cost,DW_TS_BASIC_last2YearOnlineActualCostNew,DW_TS_BASIC_last2YearOnlineActualCostNew,-9999
last_365_day_sum_lose_num,DW_TS_BASIC_last365DaySumLoseNum,DW_TS_BASIC_last365DaySumLoseNum,-9999
last_2_year_avg_actual_cost,DW_TS_BASIC_last2YearAvgActualCostNew,DW_TS_BASIC_last2YearAvgActualCostNew,-9999
last_pay_payment_method,DW_TS_BASIC_lastPayPaymentMethod,DW_TS_BASIC_lastPayPaymentMethod,-9999
d_unrepeatednumbersinaddressbook,DW_TS_COMPOUND_unrepeatedNumbersInAddressBookRefineResult,DW_TS_COMPOUND_unrepeatedNumbersInAddressBookRefineResult,-9999
work_days,DW_TS_BASIC_workDays,DW_TS_BASIC_workDays,-9999
last_1_week_credit_home_num,DW_TS_BASIC_last1WeekCreditHomeNum,DW_TS_BASIC_last1WeekCreditHomeNum,-9999
